City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Kangavar,IR,2022-06-19 05:37:24,34.5043,47.9653,87.55,13,0,3.27
172,Pevek,RU,2022-06-19 05:37:24,69.7008,170.3133,38.39,77,82,5.14
173,Goba,ET,2022-06-19 05:37:25,7.0167,39.9833,59.59,64,46,2.28
174,Ust-Shonosha,RU,2022-06-19 05:37:25,61.1531,41.343,57.49,66,96,6.89
175,Hobyo,SO,2022-06-19 05:37:26,5.3505,48.5268,83.1,56,77,24.74
176,Sabzevar,IR,2022-06-19 05:37:26,36.2126,57.6819,85.28,28,0,0.0
177,Broome,US,2022-06-19 05:37:26,42.2506,-75.833,52.66,70,0,9.22
178,Poronaysk,RU,2022-06-19 05:37:27,49.2167,143.1167,47.55,97,100,5.93
179,Poya,NC,2022-06-19 05:37:27,-21.35,165.15,70.92,93,100,7.47
180,Beringovskiy,RU,2022-06-19 05:37:28,63.05,179.3167,51.76,63,55,14.85
181,San Clemente,US,2022-06-19 05:37:28,33.427,-117.612,64.96,80,0,1.99
182,Sinnamary,GF,2022-06-19 05:38:28,5.3833,-52.95,76.12,91,67,8.68
183,Usinsk,RU,2022-06-19 05:38:29,65.9939,57.5281,67.32,46,100,10.67
184,Uyuni,BO,2022-06-19 05:38:29,-20.4597,-66.825,29.39,17,0,9.62
185,Ocos,GT,2022-06-19 05:38:30,14.5094,-92.1933,75.38,84,100,6.04
186,Beboto,TD,2022-06-19 05:38:30,8.2668,16.939,73.35,80,100,3.0
187,Semnan,IR,2022-06-19 05:38:30,35.5729,53.3971,89.44,19,0,4.61
188,Butaritari,KI,2022-06-19 05:38:31,3.0707,172.7902,82.08,77,23,7.85
189,Maceio,BR,2022-06-19 05:38:31,-9.6658,-35.7353,72.84,94,100,2.3
190,Ribeira Grande,PT,2022-06-19 05:38:32,38.5167,-28.7,63.57,76,0,22.68
191,Saint-Philippe,RE,2022-06-19 05:38:32,-21.3585,55.7679,72.1,71,23,10.96
192,Yei,SS,2022-06-19 05:38:32,4.095,30.6779,66.67,97,100,4.54
193,Phibun Mangsahan,TH,2022-06-19 05:38:33,15.2447,105.2291,97.09,43,33,6.38
194,Padang,ID,2022-06-19 05:38:33,-0.9492,100.3543,86.05,76,36,6.71
195,Sorland,NO,2022-06-19 05:38:33,67.667,12.6934,49.86,83,81,4.5
196,Henties Bay,NA,2022-06-19 05:38:34,-22.116,14.2845,54.21,95,8,3.27
197,Kortkeros,RU,2022-06-19 05:38:34,61.8106,51.5806,60.8,60,62,7.16
198,Petropavlovsk-Kamchatskiy,RU,2022-06-19 05:38:35,53.0452,158.6483,70.39,46,20,15.66
199,Lulea,SE,2022-06-19 05:38:35,65.5842,22.1547,51.87,93,100,10.36
200,Fairbanks,US,2022-06-19 05:36:26,64.8378,-147.7164,66.16,63,20,8.05
201,Peleduy,RU,2022-06-19 05:38:36,59.6289,112.7406,69.57,52,98,10.51
202,Sao Francisco,BR,2022-06-19 05:38:36,-15.9486,-44.8644,63.88,48,3,1.81
203,Nhulunbuy,AU,2022-06-19 05:38:36,-12.2333,136.7667,79.41,78,100,17.27
204,Jalu,LY,2022-06-19 05:38:37,29.0331,21.5482,78.91,42,0,2.46
205,Lavrentiya,RU,2022-06-19 05:38:37,65.5833,-171.0,53.29,54,14,6.6
206,Shangqiu,CN,2022-06-19 05:38:38,34.45,115.65,104.38,20,100,12.21
207,Villazon,BO,2022-06-19 05:38:38,-22.0866,-65.5942,29.84,10,0,6.76
208,Mahebourg,MU,2022-06-19 05:38:38,-20.4081,57.7,76.24,83,75,14.97
