City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
227,Turukhansk,65.8167,87.9833,77.5,41,7,10.2,RU,clear sky
228,Vaitape,-16.5167,-151.75,79.66,76,24,21.16,PF,light rain
229,Ofaqim,31.3141,34.6203,67.71,76,0,1.36,IL,clear sky
230,Portland,45.5234,-122.6762,61.84,80,81,3.0,US,broken clouds
231,Waiouru,-39.4833,175.6667,35.42,87,100,9.13,NZ,overcast clouds
232,Tooele,40.5308,-112.2983,57.81,41,0,6.91,US,clear sky
233,Iqaluit,63.7506,-68.5145,42.53,65,75,11.5,CA,broken clouds
234,Lebedinyy,58.5167,125.5167,74.48,32,38,11.03,RU,scattered clouds
235,Sindor,62.8629,51.8905,59.83,53,100,3.38,RU,overcast clouds
236,Ostrovnoy,68.0531,39.5131,40.26,95,100,12.95,RU,overcast clouds
237,Bose,45.4612,8.0137,72.21,73,5,3.02,IT,clear sky
238,Vung Tau,10.346,107.0843,85.1,72,37,7.11,VN,scattered clouds
239,Brattvag,62.6002,6.4434,49.51,93,6,5.75,NO,clear sky
240,Mehamn,71.0357,27.8492,44.51,100,100,0.0,NO,overcast clouds
241,Esperance,-33.8667,121.9,59.27,71,98,11.9,AU,overcast clouds
242,Ankazoabo,-22.2833,44.5167,57.29,80,0,4.54,MG,clear sky
243,Huarmey,-10.0681,-78.1522,62.55,86,14,11.81,PE,few clouds
244,Sinnamary,5.3833,-52.95,77.25,85,99,4.63,GF,overcast clouds
245,College,64.8569,-147.8028,67.59,65,100,12.66,US,thunderstorm with light rain
246,Touros,-5.1989,-35.4608,73.63,89,41,8.86,BR,scattered clouds
247,Kudahuvadhoo,2.6708,72.8944,83.3,69,41,9.69,MV,scattered clouds
248,Sola,-13.8833,167.55,84.87,74,40,0.0,VU,scattered clouds
249,Mount Isa,-20.7333,139.5,76.77,22,100,9.22,AU,overcast clouds
250,Cabo San Lucas,22.8909,-109.9124,82.51,82,38,2.84,MX,scattered clouds
251,Znamenskoye,57.1281,73.8282,73.9,61,72,5.86,RU,broken clouds
252,Olinda,-8.0089,-34.8553,73.13,100,75,6.91,BR,mist
253,Saint George,37.1041,-113.5841,79.39,8,0,8.05,US,clear sky
254,Severo-Yeniseyskiy,60.3725,93.0408,62.29,77,100,6.22,RU,light rain
255,Kalur Kot,32.1564,71.2594,89.38,44,62,4.85,PK,broken clouds
256,Abha,18.2164,42.5053,70.05,20,0,0.0,SA,clear sky
257,Shetpe,44.1667,52.1167,78.75,28,2,11.86,KZ,clear sky
258,Kiama,-34.6833,150.8667,63.57,77,100,1.01,AU,overcast clouds
259,Taoudenni,22.6783,-3.9836,89.91,28,85,10.87,ML,overcast clouds
260,Cairns,-16.9167,145.7667,80.11,65,75,18.41,AU,broken clouds
261,Kakching,24.4833,93.9833,74.98,79,72,3.71,IN,broken clouds
