City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
136,Tirthahalli,IN,76.48,overcast clouds,13.7,75.2333,Ashoka Lodge
140,Hilo,US,81.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
147,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
152,Khandyga,RU,79.97,scattered clouds,62.6667,135.6,Apel'sin
165,Lazaro Cardenas,MX,80.19,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
170,Natchez,US,80.04,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
172,Iztapa,GT,77.49,overcast clouds,13.9333,-90.7075,Villas de Puerto Viejo
175,Nizhniy Kuranakh,RU,80.46,broken clouds,58.8353,125.4869,Park Pobedy
177,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
180,Kizukuri,JP,79.21,clear sky,40.8061,140.3861,Kashiwa Roman-sō
181,Bonthe,SL,76.71,clear sky,7.5264,-12.505,Bonthe Holiday Village
182,Marawi,PH,77.79,broken clouds,7.9986,124.2928,Derogongan Residence
193,Itarema,BR,76.17,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
197,Digha,IN,84.88,overcast clouds,21.6833,87.55,Khoniker Atithi
205,Hithadhoo,MV,82.76,overcast clouds,-0.6,73.0833,Scoop Guest House
212,Thompson,CA,75.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
215,Kavieng,PG,82.71,light rain,-2.5744,150.7967,Nusa Island Retreat
217,Lucea,JM,80.46,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
225,Ixtapa,MX,82.22,overcast clouds,20.7,-105.2,hotel la terminal
227,Turukhansk,RU,77.5,clear sky,65.8167,87.9833,"ООО ""Туруханская пушнина"""
228,Vaitape,PF,79.66,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
244,Sinnamary,GF,77.25,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
247,Kudahuvadhoo,MV,83.3,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
248,Sola,VU,84.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
249,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
250,Cabo San Lucas,MX,82.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
253,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
257,Shetpe,KZ,78.75,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
260,Cairns,AU,80.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
273,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
274,Puerto Escondido,MX,79.25,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
276,Karratha,AU,79.68,clear sky,-20.7377,116.8463,ibis Styles Karratha
